Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
1.01 BRÁS,746849,PROJETOR MULTIMIDIA 2500 ANSI LUMENS,10,"R$ 7840,80","R$ 0,00",FONTE P/PROJETOR MULTIMÍDIA EPSON X24,34.8%,2006-02-28 00:00:00,MANTER: Baixa similaridade (34.8%) com consumível 'FONTE P/PROJETOR MULTIMÍDIA EPSON X24...'. Provavelmente corretamente classificado.
1.01 BRÁS,276741,CAIXA ACUSTICA IMPEDANCIA,10,"R$ 182,18","R$ 0,00",SUPORTE P/CAIXA ACÚSTICA,52.1%,1974-07-31 00:00:00,AVALIAR: Similaridade moderada (52.1%) com consumível 'SUPORTE P/CAIXA ACÚSTICA...'. Possível reclassificação.
1.01 BRÁS,276742,CAIXA ACUSTICA IMPEDANCIA,10,"R$ 182,18","R$ 0,00",SUPORTE P/CAIXA ACÚSTICA,52.1%,1974-07-31 00:00:00,AVALIAR: Similaridade moderada (52.1%) com consumível 'SUPORTE P/CAIXA ACÚSTICA...'. Possível reclassificação.
1.01 BRÁS,276743,CAIXA ACUSTICA IMPEDANCIA,10,"R$ 182,18","R$ 0,00",SUPORTE P/CAIXA ACÚSTICA,52.1%,1974-07-31 00:00:00,AVALIAR: Similaridade moderada (52.1%) com consumível 'SUPORTE P/CAIXA ACÚSTICA...'. Possível reclassificação.
1.01 BRÁS,276744,CAIXA ACUSTICA IMPEDANCIA,10,"R$ 182,18","R$ 0,00",SUPORTE P/CAIXA ACÚSTICA,52.1%,1974-07-31 00:00:00,AVALIAR: Similaridade moderada (52.1%) com consumível 'SUPORTE P/CAIXA ACÚSTICA...'. Possível reclassificação.
1.01 BRÁS,400176,PEDESTAL PARA MICROFONE PORTER PE-1,10,"R$ 182,18","R$ 0,00",PEDESTAL DE MESA P/MICROFONE,54.0%,1979-11-30 00:00:00,AVALIAR: Similaridade moderada (54.0%) com consumível 'PEDESTAL DE MESA P/MICROFONE...'. Possível reclassificação.
1.01 BRÁS,401267,CAIXA ACUSTICA 30W GRADIENTE MASTER 33,10,"R$ 182,18","R$ 0,00",SUPORTE P/CAIXA ACÚSTICA,36.9%,1979-12-31 00:00:00,MANTER: Baixa similaridade (36.9%) com consumível 'SUPORTE P/CAIXA ACÚSTICA...'. Provavelmente corretamente classificado.
1.01 BRÁS,401269,CAIXA ACUSTICA 30W GRADIENTE MASTER 33,10,"R$ 182,18","R$ 0,00",SUPORTE P/CAIXA ACÚSTICA,36.9%,1979-12-31 00:00:00,MANTER: Baixa similaridade (36.9%) com consumível 'SUPORTE P/CAIXA ACÚSTICA...'. Provavelmente corretamente classificado.
1.01 BRÁS,720242,PROJETOR MULTIMIDIA 1200 ANSI LUMENS,10,"R$ 4175,00","R$ 0,00",FONTE P/PROJETOR MULTIMÍDIA EPSON X24,34.8%,2004-05-31 00:00:00,MANTER: Baixa similaridade (34.8%) com consumível 'FONTE P/PROJETOR MULTIMÍDIA EPSON X24...'. Provavelmente corretamente classificado.
1.01 BRÁS,744188,PROJETOR MULTIMIDIA 1200ANSI EPSON S3,10,"R$ 3556,00","R$ 0,00",FONTE P/PROJETOR MULTIMÍDIA EPSON X24,56.1%,2005-12-31 00:00:00,AVALIAR: Similaridade moderada (56.1%) com consumível 'FONTE P/PROJETOR MULTIMÍDIA EPSON X24...'. Possível reclassificação.
1.01 BRÁS,730824,PROJETOR DE PERFIL VERTICAL DE BANCADA,25,"R$ 24150,00","R$ 0,00",LENTE P/PROJETOR DE PERFIL 10X,40.1%,2004-11-30 00:00:00,AVALIAR: Similaridade moderada (40.1%) com consumível 'LENTE P/PROJETOR DE PERFIL 10X...'. Possível reclassificação.
1.01 BRÁS,30248,PIANO BRASIL 9121,20,"R$ 182,18","R$ 0,00",MAPA DO BRASIL CLIMA,31.8%,1950-01-01 00:00:00,MANTER: Baixa similaridade (31.8%) com consumível 'MAPA DO BRASIL CLIMA...'. Provavelmente corretamente classificado.
1.01 BRÁS,744163,TELA P/ PROJECAO ELETRICA 20P NGR,10,"R$ 3136,00","R$ 0,00",TELA DE PROJEÇAO MOTORIZADA,42.7%,2005-12-31 00:00:00,AVALIAR: Similaridade moderada (42.7%) com consumível 'TELA DE PROJEÇAO MOTORIZADA...'. Possível reclassificação.
1.01 BRÁS,744929,VIDEO CASSETE RECORDER SEMP VCX802,15,"R$ 270,00","R$ 0,00",CASSETE 9V,26.3%,2005-12-31 00:00:00,MANTER: Similaridade muito baixa (26.3%). Mantém como patrimônio.
1.01 BRÁS,743782,SELETOR MANUAL VGA 4 ENTRADA SM-410,10,"R$ 408,36","R$ 0,00",SELETOR MANUAL DE REDE RJ45 HUB,33.9%,2005-12-31 00:00:00,MANTER: Baixa similaridade (33.9%) com consumível 'SELETOR MANUAL DE REDE RJ45 HUB...'. Provavelmente corretamente classificado.
1.01 BRÁS,743783,SELETOR DE AUDIO E VIDEO SV-510,10,"R$ 162,36","R$ 0,00","MODULADOR DE AUDIO E VIDEO 3/4""",49.6%,2005-12-31 00:00:00,"AVALIAR: Similaridade moderada (49.6%) com consumível 'MODULADOR DE AUDIO E VIDEO 3/4""...'. Possível reclassificação."
1.01 BRÁS,743784,CONVERSOR DE FORMATOS DE VIDEO CM-340,15,"R$ 930,87","R$ 0,00",CONVERSOR VIDEO BALUN XBP 401,37.3%,2005-12-31 00:00:00,MANTER: Baixa similaridade (37.3%) com consumível 'CONVERSOR VIDEO BALUN XBP 401...'. Provavelmente corretamente classificado.
1.01 BRÁS,742701,TELA BOBINAVEL PARA PROJECAO,10,"R$ 157,00","R$ 0,00",TELA DE PROJEÇAO MOTORIZADA,51.4%,2005-10-31 00:00:00,AVALIAR: Similaridade moderada (51.4%) com consumível 'TELA DE PROJEÇAO MOTORIZADA...'. Possível reclassificação.
1.01 BRÁS,287446,RETROPROJETOR 3M MOD.66 NACIONAL,10,"R$ 182,18","R$ 0,00",BANDEIRA NACIONAL,29.7%,1975-01-01 00:00:00,MANTER: Similaridade muito baixa (29.7%). Mantém como patrimônio.
1.01 BRÁS,508549,OSCILOSCOPIO PORT P6109 TECTRONIX,10,"R$ 182,18","R$ 0,00",GARRA JACARÉ P/OSCILOSCÓPIO,23.7%,1992-07-31 00:00:00,MANTER: Similaridade muito baixa (23.7%). Mantém como patrimônio.
1.01 BRÁS,640291,QUADRO BRANCO 2X1M DIDATICA BOORD,20,"R$ 166,87","R$ 0,00",QUADRO BRANCO 80X60cm,41.1%,1998-04-30 00:00:00,AVALIAR: Similaridade moderada (41.1%) com consumível 'QUADRO BRANCO 80X60cm...'. Possível reclassificação.
1.01 BRÁS,654150,GERENCIADOR DE RACK 19P E CABOS,8,"R$ 2315,71","R$ 0,00","GUIA DE CABOS DE 2U PARA RACK 19""",41.3%,2003-07-31 00:00:00,"AVALIAR: Similaridade moderada (41.3%) com consumível 'GUIA DE CABOS DE 2U PARA RACK 19""...'. Possível reclassificação."
1.01 BRÁS,745443,TELEVISAO 29P TELA PLANA STEREO,15,"R$ 1161,00","R$ 0,00",CHICOTE TELHA PLANA,25.6%,2006-01-31 00:00:00,MANTER: Similaridade muito baixa (25.6%). Mantém como patrimônio.
1.01 BRÁS,719404,TELEVISOR A CORES C/CINESCOPIO DE 29 P,15,"R$ 956,00","R$ 0,00",SEQÜENCIA DE CORES - BRINQUEDO ED.,28.8%,2004-05-31 00:00:00,MANTER: Similaridade muito baixa (28.8%). Mantém como patrimônio.
1.02 VILA ALPINA,743491,SISTEMA DE MICROFONE SEM FIO,10,"R$ 2444,78","R$ 0,00",TAMPA BATERIA MICROFONE SEM FIO,56.4%,2005-11-30 00:00:00,AVALIAR: Similaridade moderada (56.4%) com consumível 'TAMPA BATERIA MICROFONE SEM FIO...'. Possível reclassificação.
1.03 MOOCA,429310,PROJETOR DE PERFIL MITUTOYO PJ-300,25,"R$ 182,18","R$ 0,00",LENTE P/PROJETOR DE PERFIL 100X,42.7%,1981-12-31 00:00:00,AVALIAR: Similaridade moderada (42.7%) com consumível 'LENTE P/PROJETOR DE PERFIL 100X...'. Possível reclassificação.
1.03 MOOCA,760845,VIDEO CASSETE MONO,15,"R$ 260,00","R$ 0,00",CASSETE 9V,40.5%,2006-10-31 00:00:00,AVALIAR: Similaridade moderada (40.5%) com consumível 'CASSETE 9V...'. Possível reclassificação.
1.03 MOOCA,747182,"CAMERA FOTOGRAFICA DIGITAL 5,0 MEGAPIXEL",10,"R$ 3880,00","R$ 0,00",BATERIA P/CÂMERA FOTOGRÁFICA 1.5V LR-44,45.5%,2006-03-31 00:00:00,AVALIAR: Similaridade moderada (45.5%) com consumível 'BATERIA P/CÂMERA FOTOGRÁFICA 1.5V LR-44...'. Possível reclassificação.
1.05 BARRA FUNDA,718403,CAIXA ACUSTICA TRAPEZOIDAL 120 WATTS,10,"R$ 494,00","R$ 0,00",SUPORTE P/CAIXA ACÚSTICA,37.3%,2004-04-30 00:00:00,MANTER: Baixa similaridade (37.3%) com consumível 'SUPORTE P/CAIXA ACÚSTICA...'. Provavelmente corretamente classificado.
1.05 BARRA FUNDA,718404,CAIXA ACUSTICA TRAPEZOIDAL 120 WATTS,10,"R$ 494,00","R$ 0,00",SUPORTE P/CAIXA ACÚSTICA,37.3%,2004-04-30 00:00:00,MANTER: Baixa similaridade (37.3%) com consumível 'SUPORTE P/CAIXA ACÚSTICA...'. Provavelmente corretamente classificado.
1.05 BARRA FUNDA,718405,CAIXA ACUSTICA TRAPEZOIDAL 120 WATTS,10,"R$ 494,00","R$ 0,00",SUPORTE P/CAIXA ACÚSTICA,37.3%,2004-04-30 00:00:00,MANTER: Baixa similaridade (37.3%) com consumível 'SUPORTE P/CAIXA ACÚSTICA...'. Provavelmente corretamente classificado.
