Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
1.01 BRÁS,1099669,APARELHO DE TELEFONE IP / GRANDSTREAM,15,"R$ 394,10","R$ 0,00",APARELHO DE TELEFONE C/GÔNDOLA,47.3%,2014-05-06 00:00:00,AVALIAR: Similaridade moderada (47.3%) com consumível 'APARELHO DE TELEFONE C/GÔNDOLA...'. Possível reclassificação.
1.01 BRÁS,1099670,APARELHO DE TELEFONE IP / GRANDSTREAM,15,"R$ 394,10","R$ 0,00",APARELHO DE TELEFONE C/GÔNDOLA,47.3%,2014-05-06 00:00:00,AVALIAR: Similaridade moderada (47.3%) com consumível 'APARELHO DE TELEFONE C/GÔNDOLA...'. Possível reclassificação.
1.01 BRÁS,1099671,APARELHO DE TELEFONE IP / GRANDSTREAM,15,"R$ 394,10","R$ 0,00",APARELHO DE TELEFONE C/GÔNDOLA,47.3%,2014-05-06 00:00:00,AVALIAR: Similaridade moderada (47.3%) com consumível 'APARELHO DE TELEFONE C/GÔNDOLA...'. Possível reclassificação.
1.01 BRÁS,1099672,APARELHO DE TELEFONE IP / GRANDSTREAM,15,"R$ 394,10","R$ 0,00",APARELHO DE TELEFONE C/GÔNDOLA,47.3%,2014-05-06 00:00:00,AVALIAR: Similaridade moderada (47.3%) com consumível 'APARELHO DE TELEFONE C/GÔNDOLA...'. Possível reclassificação.
1.01 BRÁS,1099673,APARELHO DE TELEFONE IP / GRANDSTREAM,15,"R$ 394,10","R$ 0,00",APARELHO DE TELEFONE C/GÔNDOLA,47.3%,2014-05-06 00:00:00,AVALIAR: Similaridade moderada (47.3%) com consumível 'APARELHO DE TELEFONE C/GÔNDOLA...'. Possível reclassificação.
1.01 BRÁS,1099674,APARELHO DE TELEFONE IP / GRANDSTREAM,15,"R$ 394,10","R$ 0,00",APARELHO DE TELEFONE C/GÔNDOLA,47.3%,2014-05-06 00:00:00,AVALIAR: Similaridade moderada (47.3%) com consumível 'APARELHO DE TELEFONE C/GÔNDOLA...'. Possível reclassificação.
1.01 BRÁS,1099675,APARELHO DE TELEFONE IP / GRANDSTREAM,15,"R$ 394,10","R$ 0,00",APARELHO DE TELEFONE C/GÔNDOLA,47.3%,2014-05-06 00:00:00,AVALIAR: Similaridade moderada (47.3%) com consumível 'APARELHO DE TELEFONE C/GÔNDOLA...'. Possível reclassificação.
1.01 BRÁS,1099676,APARELHO DE TELEFONE IP / GRANDSTREAM,15,"R$ 394,10","R$ 0,00",APARELHO DE TELEFONE C/GÔNDOLA,47.3%,2014-05-06 00:00:00,AVALIAR: Similaridade moderada (47.3%) com consumível 'APARELHO DE TELEFONE C/GÔNDOLA...'. Possível reclassificação.
1.01 BRÁS,1099677,APARELHO DE TELEFONE IP / GRANDSTREAM,15,"R$ 394,10","R$ 0,00",APARELHO DE TELEFONE C/GÔNDOLA,47.3%,2014-05-06 00:00:00,AVALIAR: Similaridade moderada (47.3%) com consumível 'APARELHO DE TELEFONE C/GÔNDOLA...'. Possível reclassificação.
1.01 BRÁS,1099678,APARELHO DE TELEFONE IP / GRANDSTREAM,15,"R$ 394,10","R$ 0,00",APARELHO DE TELEFONE C/GÔNDOLA,47.3%,2014-05-06 00:00:00,AVALIAR: Similaridade moderada (47.3%) com consumível 'APARELHO DE TELEFONE C/GÔNDOLA...'. Possível reclassificação.
1.01 BRÁS,962002,PABX GRANDE PORTE TRONCOS DIG./AASTRA,15,"R$ 23609,00","R$ 0,00",RELÓGIO DE PAREDE GRANDE LE DIG 36CM,28.9%,2010-11-04 00:00:00,MANTER: Similaridade muito baixa (28.9%). Mantém como patrimônio.
1.01 BRÁS,1052916,CENTRAL TELEFÔNICA PEQ.PORTE/INTELBRAS,15,"R$ 658,81","R$ 0,00",CENTRAL ELETRÔNICA PARA CERCA ELÉTRICA,27.7%,2013-01-16 00:00:00,MANTER: Similaridade muito baixa (27.7%). Mantém como patrimônio.
1.02 VILA ALPINA,794462,AMPLIFICADOR POTENCIA  HOT SOUND HS600 SX,10,"R$ 1137,87","R$ 0,00",AMPLIFICADOR DE POTÊNCIA TDA2050,45.0%,2007-10-01 00:00:00,AVALIAR: Similaridade moderada (45.0%) com consumível 'AMPLIFICADOR DE POTÊNCIA TDA2050...'. Possível reclassificação.
1.02 VILA ALPINA,881739,CENTRAL TELEFONICA PABX ERICSSON,15,"R$ 14498,33","R$ 0,00",CENTRAL ELETRÔNICA SMART CONNECT,30.6%,2008-12-04 00:00:00,MANTER: Baixa similaridade (30.6%) com consumível 'CENTRAL ELETRÔNICA SMART CONNECT...'. Provavelmente corretamente classificado.
1.02 VILA ALPINA,1053579,CENTRAL TELEFÔNICA PEQ.PORTE/INTELBRAS,15,"R$ 658,81","R$ 0,00",CENTRAL ELETRÔNICA PARA CERCA ELÉTRICA,27.7%,2013-01-11 00:00:00,MANTER: Similaridade muito baixa (27.7%). Mantém como patrimônio.
1.03 MOOCA,961984,PABX MÉDIO PORTE TRONCOS DIGITAIS/AASTRA,15,"R$ 17649,00","R$ 0,00",CASA P/CACHORRO - PORTE MÉDIO,28.2%,2010-11-04 00:00:00,MANTER: Similaridade muito baixa (28.2%). Mantém como patrimônio.
1.06 VILA LEOPOLDINA,1241127,SMARTPHONE GALAXY A31 PRETO - SAMSUNG,15,"R$ 1484,10","R$ 816,25",TELA COMP. CELULAR SAMSUNG GALAXY A31,38.9%,2021-06-14 00:00:00,MANTER: Baixa similaridade (38.9%) com consumível 'TELA COMP. CELULAR SAMSUNG GALAXY A31...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,1259238,TELEFONE SEM FIO (USAR CÓD 1100489),15,"R$ 1599,50","R$ 1039,67",APARELHO DE TELEFONE SEM FIO,50.7%,2022-06-24 00:00:00,AVALIAR: Similaridade moderada (50.7%) com consumível 'APARELHO DE TELEFONE SEM FIO...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,1259239,TELEFONE SEM FIO (USAR CÓD 1100489),15,"R$ 1599,50","R$ 1039,67",APARELHO DE TELEFONE SEM FIO,50.7%,2022-06-24 00:00:00,AVALIAR: Similaridade moderada (50.7%) com consumível 'APARELHO DE TELEFONE SEM FIO...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,1044232,PABX GRANDE PORTE C/TRONCOS DIG./AASTRA,15,"R$ 17200,00","R$ 0,00",RELÓGIO DE PAREDE GRANDE LE DIG 36CM,28.5%,2012-07-05 00:00:00,MANTER: Similaridade muito baixa (28.5%). Mantém como patrimônio.
1.06 VILA LEOPOLDINA,1050928,CENTRAL TELEFÔNICA PEQ. PORTE/INTELBRAS,15,"R$ 658,81","R$ 0,00",CENTRAL ELETRÔNICA PARA CERCA ELÉTRICA,27.7%,2013-01-22 00:00:00,MANTER: Similaridade muito baixa (27.7%). Mantém como patrimônio.
1.07 BRÁS,1067891,PABX GRANDE PORTE C/TRONCOS DIG./AASTRA,15,"R$ 17200,00","R$ 0,00",RELÓGIO DE PAREDE GRANDE LE DIG 36CM,28.5%,2013-12-11 00:00:00,MANTER: Similaridade muito baixa (28.5%). Mantém como patrimônio.
1.07 BRÁS,932937,TELEFONE SEM FIO 900 MHZ/MULTITOC,15,"R$ 84,99","R$ 0,00",APARELHO DE TELEFONE SEM FIO,50.7%,2010-03-11 00:00:00,AVALIAR: Similaridade moderada (50.7%) com consumível 'APARELHO DE TELEFONE SEM FIO...'. Possível reclassificação.
1.07 BRÁS,932900,TELEFONE SEM FIO 900 MHZ/MULTITOC,15,"R$ 84,99","R$ 0,00",APARELHO DE TELEFONE SEM FIO,50.7%,2010-03-11 00:00:00,AVALIAR: Similaridade moderada (50.7%) com consumível 'APARELHO DE TELEFONE SEM FIO...'. Possível reclassificação.
1.09 VILA MARIANA,1280892,SMARTPHONE ANDROID TECNOLOGIA 5G,15,"R$ 4800,00","R$ 3760,00",SMARTPHONE (CÓD INATIVO),31.8%,2023-10-25 00:00:00,MANTER: Baixa similaridade (31.8%) com consumível 'SMARTPHONE (CÓD INATIVO)...'. Provavelmente corretamente classificado.
1.09 VILA MARIANA,1280893,SMARTPHONE ANDROID TECNOLOGIA 5G,15,"R$ 4800,00","R$ 3760,00",SMARTPHONE (CÓD INATIVO),31.8%,2023-10-25 00:00:00,MANTER: Baixa similaridade (31.8%) com consumível 'SMARTPHONE (CÓD INATIVO)...'. Provavelmente corretamente classificado.
1.09 VILA MARIANA,1282264,SMARTPHONE ANDROID AVANÇADO C/5G,15,"R$ 4920,00","R$ 3895,00",SMARTPHONE (CÓD INATIVO),32.9%,2023-11-24 00:00:00,MANTER: Baixa similaridade (32.9%) com consumível 'SMARTPHONE (CÓD INATIVO)...'. Provavelmente corretamente classificado.
1.09 VILA MARIANA,1282265,SMARTPHONE ANDROID AVANÇADO C/5G,15,"R$ 4920,00","R$ 3895,00",SMARTPHONE (CÓD INATIVO),32.9%,2023-11-24 00:00:00,MANTER: Baixa similaridade (32.9%) com consumível 'SMARTPHONE (CÓD INATIVO)...'. Provavelmente corretamente classificado.
1.09 VILA MARIANA,1356669,ANTENA TIPO DOT,15,"R$ 14026,11","R$ 12623,50",TERMOPAR TIPO K,35.5%,2025-06-11 00:00:00,MANTER: Baixa similaridade (35.5%) com consumível 'TERMOPAR TIPO K...'. Provavelmente corretamente classificado.
