Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
1.02 VILA ALPINA,1101864,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-23 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.02 VILA ALPINA,1103670,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-28 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.02 VILA ALPINA,1103671,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-28 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.03 MOOCA,1103180,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-28 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.03 MOOCA,1103181,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-28 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.07 BRÁS,1101890,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-23 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.08 IPIRANGA,1236530,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA,15,"R$ 550,00","R$ 275,00",BOLA DE TÊNIS DE MESA,43.0%,2020-12-08 00:00:00,AVALIAR: Similaridade moderada (43.0%) com consumível 'BOLA DE TÊNIS DE MESA...'. Possível reclassificação.
1.10 BOM RETIRO,1241381,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA,15,"R$ 638,90","R$ 351,39",BOLA DE TÊNIS DE MESA,43.0%,2021-06-28 00:00:00,AVALIAR: Similaridade moderada (43.0%) com consumível 'BOLA DE TÊNIS DE MESA...'. Possível reclassificação.
1.10 BOM RETIRO,1241415,MESA DE PEBOLIM OFICIAL,15,"R$ 1939,90","R$ 1083,11",BONECO P/MESA DE PEBOLIM,54.1%,2021-07-20 00:00:00,AVALIAR: Similaridade moderada (54.1%) com consumível 'BONECO P/MESA DE PEBOLIM...'. Possível reclassificação.
1.10 BOM RETIRO,1103255,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-26 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
