Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
1.01 BRÁS,1055733,ACCESS POINT CORPORATIVO PADRÕES G/N /CISCO,8,"R$ 613,84","R$ 0,00",TECLADO CORPORATIVO (SEDE),25.5%,2013-02-08 00:00:00,MANTER: Similaridade muito baixa (25.5%). Mantém como patrimônio.
1.01 BRÁS,1140753,NOTEBOOK LENOVO T440P,8,"R$ 2705,01","R$ 0,00",TECLADO P/NOTEBOOK LENOVO,54.6%,2015-04-01 00:00:00,AVALIAR: Similaridade moderada (54.6%) com consumível 'TECLADO P/NOTEBOOK LENOVO...'. Possível reclassificação.
1.01 BRÁS,1003038,REGISTRADOR ELETRÔNICO DE PONTO/MADIS,8,"R$ 1444,00","R$ 0,00",PURGADOR ELETRÔNICO,32.2%,2011-06-27 00:00:00,MANTER: Baixa similaridade (32.2%) com consumível 'PURGADOR ELETRÔNICO...'. Provavelmente corretamente classificado.
1.01 BRÁS,1003610,MICROCOMPUTADOR INTEGRADO 4GB/LENOVO AIO,8,"R$ 1595,00","R$ 0,00",MICROCOMPUTADOR (CÓD INATIVO),28.8%,2011-06-28 00:00:00,MANTER: Similaridade muito baixa (28.8%). Mantém como patrimônio.
1.01 BRÁS,1003615,MICROCOMPUTADOR INTEGRADO 4GB/LENOVO AIO,8,"R$ 1595,00","R$ 0,00",MICROCOMPUTADOR (CÓD INATIVO),28.8%,2011-06-28 00:00:00,MANTER: Similaridade muito baixa (28.8%). Mantém como patrimônio.
1.01 BRÁS,1065037,MICROCOMPUTADOR POSITIVO MASTER D510,8,"R$ 2053,27","R$ 0,00",MICROCOMPUTADOR (CÓD INATIVO),32.6%,2013-03-11 00:00:00,MANTER: Baixa similaridade (32.6%) com consumível 'MICROCOMPUTADOR (CÓD INATIVO)...'. Provavelmente corretamente classificado.
1.01 BRÁS,1065375,MICROCOMPUTADOR POSITIVO MASTER D510,8,"R$ 2053,27","R$ 0,00",MICROCOMPUTADOR (CÓD INATIVO),32.6%,2013-03-11 00:00:00,MANTER: Baixa similaridade (32.6%) com consumível 'MICROCOMPUTADOR (CÓD INATIVO)...'. Provavelmente corretamente classificado.
1.01 BRÁS,1065514,"MONITOR LED 21,5P / LG E2241V",8,"R$ 300,00","R$ 0,00","MONITOR LED 15"" 4:3 TELA QUADRADA (PEÇA)",38.3%,2013-03-11 00:00:00,"MANTER: Baixa similaridade (38.3%) com consumível 'MONITOR LED 15"" 4:3 TELA QUADRADA (PEÇA)...'. Provavelmente corretamente classificado."
1.01 BRÁS,1065517,"MONITOR LED 21,5P / LG E2241V",8,"R$ 300,00","R$ 0,00","MONITOR LED 15"" 4:3 TELA QUADRADA (PEÇA)",38.3%,2013-03-11 00:00:00,"MANTER: Baixa similaridade (38.3%) com consumível 'MONITOR LED 15"" 4:3 TELA QUADRADA (PEÇA)...'. Provavelmente corretamente classificado."
1.01 BRÁS,1125115,SWITCH L2 - 24 PORTAS - UNIDADES / CISCO,8,"R$ 2100,45","R$ 0,00",SWITCH C/24 PORTAS NÃO GERENCIÁVEL,43.6%,2014-10-13 00:00:00,AVALIAR: Similaridade moderada (43.6%) com consumível 'SWITCH C/24 PORTAS NÃO GERENCIÁVEL...'. Possível reclassificação.
1.01 BRÁS,1065795,"MONITOR LED 21,5P / LG E2241V",8,"R$ 300,00","R$ 0,00","MONITOR LED 15"" 4:3 TELA QUADRADA (PEÇA)",38.3%,2013-03-11 00:00:00,"MANTER: Baixa similaridade (38.3%) com consumível 'MONITOR LED 15"" 4:3 TELA QUADRADA (PEÇA)...'. Provavelmente corretamente classificado."
1.01 BRÁS,1125138,SWITCH L2 - 24 PORTAS - UNIDADES / CISCO,8,"R$ 2100,45","R$ 0,00",SWITCH C/24 PORTAS NÃO GERENCIÁVEL,43.6%,2014-10-13 00:00:00,AVALIAR: Similaridade moderada (43.6%) com consumível 'SWITCH C/24 PORTAS NÃO GERENCIÁVEL...'. Possível reclassificação.
1.01 BRÁS,884444,IMPRESSORA JATO DE TINTA A3 HP 2800,8,"R$ 2500,00","R$ 0,00",TINTA TRANSPARENTE PARA IMPRESSORA 3D,38.0%,2008-12-31 00:00:00,MANTER: Baixa similaridade (38.0%) com consumível 'TINTA TRANSPARENTE PARA IMPRESSORA 3D...'. Provavelmente corretamente classificado.
1.01 BRÁS,1055714,ACCESS POINT CORPORATIVO PADRÕES G/N /CISCO,8,"R$ 613,84","R$ 0,00",TECLADO CORPORATIVO (SEDE),25.5%,2013-02-08 00:00:00,MANTER: Similaridade muito baixa (25.5%). Mantém como patrimônio.
1.01 BRÁS,1098668,"SMARTPHONE 4,27 P SAMSUNG GALAXY SIII",8,"R$ 1300,00","R$ 0,00",TELA COMP. CELULAR SAMSUNG GALAXY S9,36.7%,2014-04-30 00:00:00,MANTER: Baixa similaridade (36.7%) com consumível 'TELA COMP. CELULAR SAMSUNG GALAXY S9...'. Provavelmente corretamente classificado.
1.01 BRÁS,1098672,"SMARTPHONE 4,27 P SAMSUNG GALAXY SIII",8,"R$ 1300,00","R$ 0,00",TELA COMP. CELULAR SAMSUNG GALAXY S9,36.7%,2014-04-30 00:00:00,MANTER: Baixa similaridade (36.7%) com consumível 'TELA COMP. CELULAR SAMSUNG GALAXY S9...'. Provavelmente corretamente classificado.
1.01 BRÁS,1140765,NOTEBOOK LENOVO T440P,8,"R$ 2705,01","R$ 0,00",TECLADO P/NOTEBOOK LENOVO,54.6%,2015-04-01 00:00:00,AVALIAR: Similaridade moderada (54.6%) com consumível 'TECLADO P/NOTEBOOK LENOVO...'. Possível reclassificação.
1.01 BRÁS,929762,PROJETOR MULTIMÍDIA C/SUPORTE /OPTOMA,10,"R$ 1549,00","R$ 0,00",LÂMPADA PARA PROJETOR OPTOMA,42.1%,2010-02-22 00:00:00,AVALIAR: Similaridade moderada (42.1%) com consumível 'LÂMPADA PARA PROJETOR OPTOMA...'. Possível reclassificação.
1.01 BRÁS,955991,NOTEBOOK T410 I5 520M 2GB 14/LENOVO,8,"R$ 2841,34","R$ 0,00",TECLADO P/NOTEBOOK LENOVO,38.3%,2010-09-13 00:00:00,MANTER: Baixa similaridade (38.3%) com consumível 'TECLADO P/NOTEBOOK LENOVO...'. Provavelmente corretamente classificado.
1.01 BRÁS,977870,PROJETOR MULT.SALA/LAB.C/SUPORTE/OPTOMA,10,"R$ 1495,00","R$ 0,00",LÂMPADA PARA PROJETOR OPTOMA,33.4%,2011-02-15 00:00:00,MANTER: Baixa similaridade (33.4%) com consumível 'LÂMPADA PARA PROJETOR OPTOMA...'. Provavelmente corretamente classificado.
1.01 BRÁS,1028798,ACCESS POINT CORPOR. PADRÕES G/N/CISCO AIR,8,"R$ 613,83","R$ 0,00",REPETIDOR DE SINAL MODELO CISCO WAP121-A,19.6%,2012-03-15 00:00:00,MANTER: Similaridade muito baixa (19.6%). Mantém como patrimônio.
1.01 BRÁS,1125125,SWITCH L2 - 24 PORTAS - UNIDADES / CISCO,8,"R$ 2100,45","R$ 0,00",SWITCH C/24 PORTAS NÃO GERENCIÁVEL,43.6%,2014-10-13 00:00:00,AVALIAR: Similaridade moderada (43.6%) com consumível 'SWITCH C/24 PORTAS NÃO GERENCIÁVEL...'. Possível reclassificação.
1.01 BRÁS,1028801,ACCESS POINT CORPOR. PADRÕES G/N/CISCO AIR,8,"R$ 613,76","R$ 0,00",REPETIDOR DE SINAL MODELO CISCO WAP121-A,19.6%,2012-03-15 00:00:00,MANTER: Similaridade muito baixa (19.6%). Mantém como patrimônio.
1.01 BRÁS,1055715,ACCESS POINT CORPORATIVO PADRÕES G/N /CISCO,8,"R$ 613,84","R$ 0,00",TECLADO CORPORATIVO (SEDE),25.5%,2013-02-08 00:00:00,MANTER: Similaridade muito baixa (25.5%). Mantém como patrimônio.
1.01 BRÁS,1140766,NOTEBOOK LENOVO T440P,8,"R$ 2705,01","R$ 0,00",TECLADO P/NOTEBOOK LENOVO,54.6%,2015-04-01 00:00:00,AVALIAR: Similaridade moderada (54.6%) com consumível 'TECLADO P/NOTEBOOK LENOVO...'. Possível reclassificação.
1.01 BRÁS,1125114,SWITCH L2 - 24 PORTAS - UNIDADES / CISCO,8,"R$ 2100,45","R$ 0,00",SWITCH C/24 PORTAS NÃO GERENCIÁVEL,43.6%,2014-10-13 00:00:00,AVALIAR: Similaridade moderada (43.6%) com consumível 'SWITCH C/24 PORTAS NÃO GERENCIÁVEL...'. Possível reclassificação.
1.01 BRÁS,1125147,SWITCH L2 - 24 PORTAS - UNIDADES / CISCO,8,"R$ 2100,45","R$ 0,00",SWITCH C/24 PORTAS NÃO GERENCIÁVEL,43.6%,2014-10-13 00:00:00,AVALIAR: Similaridade moderada (43.6%) com consumível 'SWITCH C/24 PORTAS NÃO GERENCIÁVEL...'. Possível reclassificação.
1.01 BRÁS,1125127,SWITCH L2 - 24 PORTAS - UNIDADES / CISCO,8,"R$ 2100,45","R$ 0,00",SWITCH C/24 PORTAS NÃO GERENCIÁVEL,43.6%,2014-10-13 00:00:00,AVALIAR: Similaridade moderada (43.6%) com consumível 'SWITCH C/24 PORTAS NÃO GERENCIÁVEL...'. Possível reclassificação.
1.01 BRÁS,1055711,ACCESS POINT CORPORATIVO PADRÕES G/N /CISCO,8,"R$ 613,84","R$ 0,00",TECLADO CORPORATIVO (SEDE),25.5%,2013-02-08 00:00:00,MANTER: Similaridade muito baixa (25.5%). Mantém como patrimônio.
1.01 BRÁS,1055712,ACCESS POINT CORPORATIVO PADRÕES G/N /CISCO,8,"R$ 613,84","R$ 0,00",TECLADO CORPORATIVO (SEDE),25.5%,2013-02-08 00:00:00,MANTER: Similaridade muito baixa (25.5%). Mantém como patrimônio.
1.01 BRÁS,1125121,SWITCH L2 - 24 PORTAS - UNIDADES / CISCO,8,"R$ 2100,45","R$ 0,00",SWITCH C/24 PORTAS NÃO GERENCIÁVEL,43.6%,2014-10-13 00:00:00,AVALIAR: Similaridade moderada (43.6%) com consumível 'SWITCH C/24 PORTAS NÃO GERENCIÁVEL...'. Possível reclassificação.
1.01 BRÁS,1140762,NOTEBOOK LENOVO T440P,8,"R$ 2705,01","R$ 0,00",TECLADO P/NOTEBOOK LENOVO,54.6%,2015-04-01 00:00:00,AVALIAR: Similaridade moderada (54.6%) com consumível 'TECLADO P/NOTEBOOK LENOVO...'. Possível reclassificação.
1.01 BRÁS,955989,NOTEBOOK T410 I5 520M 2GB 14/LENOVO,8,"R$ 2841,34","R$ 0,00",TECLADO P/NOTEBOOK LENOVO,38.3%,2010-09-13 00:00:00,MANTER: Baixa similaridade (38.3%) com consumível 'TECLADO P/NOTEBOOK LENOVO...'. Provavelmente corretamente classificado.
1.01 BRÁS,1125120,SWITCH L2 - 24 PORTAS - UNIDADES / CISCO,8,"R$ 2100,45","R$ 0,00",SWITCH C/24 PORTAS NÃO GERENCIÁVEL,43.6%,2014-10-13 00:00:00,AVALIAR: Similaridade moderada (43.6%) com consumível 'SWITCH C/24 PORTAS NÃO GERENCIÁVEL...'. Possível reclassificação.
1.01 BRÁS,1140755,NOTEBOOK LENOVO T440P,8,"R$ 2705,01","R$ 0,00",TECLADO P/NOTEBOOK LENOVO,54.6%,2015-04-01 00:00:00,AVALIAR: Similaridade moderada (54.6%) com consumível 'TECLADO P/NOTEBOOK LENOVO...'. Possível reclassificação.
1.01 BRÁS,843945,SWITCH 4500 26PORT PAD.UNID.3CR1756-91/3COM,8,"R$ 1404,76","R$ 0,00",KVM SWITCH DE 08 PORTAS PADRÃO 19P,21.9%,2008-05-08 00:00:00,MANTER: Similaridade muito baixa (21.9%). Mantém como patrimônio.
1.01 BRÁS,977868,PROJETOR MULT.SALA/LAB.C/SUPORTE/OPTOMA,10,"R$ 1495,00","R$ 0,00",LÂMPADA PARA PROJETOR OPTOMA,33.4%,2011-02-15 00:00:00,MANTER: Baixa similaridade (33.4%) com consumível 'LÂMPADA PARA PROJETOR OPTOMA...'. Provavelmente corretamente classificado.
1.01 BRÁS,1125116,SWITCH L2 - 24 PORTAS - UNIDADES / CISCO,8,"R$ 2100,45","R$ 0,00",SWITCH C/24 PORTAS NÃO GERENCIÁVEL,43.6%,2014-10-13 00:00:00,AVALIAR: Similaridade moderada (43.6%) com consumível 'SWITCH C/24 PORTAS NÃO GERENCIÁVEL...'. Possível reclassificação.
1.01 BRÁS,1055713,ACCESS POINT CORPORATIVO PADRÕES G/N /CISCO,8,"R$ 613,84","R$ 0,00",TECLADO CORPORATIVO (SEDE),25.5%,2013-02-08 00:00:00,MANTER: Similaridade muito baixa (25.5%). Mantém como patrimônio.
1.01 BRÁS,1065794,"MONITOR LED 21,5P / LG E2241V",8,"R$ 300,00","R$ 0,00","MONITOR LED 15"" 4:3 TELA QUADRADA (PEÇA)",38.3%,2013-03-11 00:00:00,"MANTER: Baixa similaridade (38.3%) com consumível 'MONITOR LED 15"" 4:3 TELA QUADRADA (PEÇA)...'. Provavelmente corretamente classificado."
1.01 BRÁS,1065834,"MONITOR LED 21,5P / LG E2241V",8,"R$ 300,00","R$ 0,00","MONITOR LED 15"" 4:3 TELA QUADRADA (PEÇA)",38.3%,2013-03-11 00:00:00,"MANTER: Baixa similaridade (38.3%) com consumível 'MONITOR LED 15"" 4:3 TELA QUADRADA (PEÇA)...'. Provavelmente corretamente classificado."
1.01 BRÁS,1125128,SWITCH L2 - 24 PORTAS - UNIDADES / CISCO,8,"R$ 2100,45","R$ 0,00",SWITCH C/24 PORTAS NÃO GERENCIÁVEL,43.6%,2014-10-13 00:00:00,AVALIAR: Similaridade moderada (43.6%) com consumível 'SWITCH C/24 PORTAS NÃO GERENCIÁVEL...'. Possível reclassificação.
1.01 BRÁS,907132,PROJETOR MULT.SALA/LAB.C/SUP./OPTOMA,10,"R$ 1775,80","R$ 0,00",LÂMPADA PARA PROJETOR OPTOMA,34.3%,2009-08-28 00:00:00,MANTER: Baixa similaridade (34.3%) com consumível 'LÂMPADA PARA PROJETOR OPTOMA...'. Provavelmente corretamente classificado.
1.01 BRÁS,1065246,MICROCOMPUTADOR POSITIVO MASTER D510,8,"R$ 2053,27","R$ 0,00",MICROCOMPUTADOR (CÓD INATIVO),32.6%,2013-03-11 00:00:00,MANTER: Baixa similaridade (32.6%) com consumível 'MICROCOMPUTADOR (CÓD INATIVO)...'. Provavelmente corretamente classificado.
1.01 BRÁS,1065733,"MONITOR LED 21,5P / LG E2241V",8,"R$ 300,00","R$ 0,00","MONITOR LED 15"" 4:3 TELA QUADRADA (PEÇA)",38.3%,2013-03-11 00:00:00,"MANTER: Baixa similaridade (38.3%) com consumível 'MONITOR LED 15"" 4:3 TELA QUADRADA (PEÇA)...'. Provavelmente corretamente classificado."
1.01 BRÁS,1125146,SWITCH L2 - 24 PORTAS - UNIDADES / CISCO,8,"R$ 2100,45","R$ 0,00",SWITCH C/24 PORTAS NÃO GERENCIÁVEL,43.6%,2014-10-13 00:00:00,AVALIAR: Similaridade moderada (43.6%) com consumível 'SWITCH C/24 PORTAS NÃO GERENCIÁVEL...'. Possível reclassificação.
1.01 BRÁS,1097782,SWITCH L2 - 24 PORTAS - UNIDADES /CISCO,8,"R$ 2100,45","R$ 0,00",SWITCH C/24 PORTAS NÃO GERENCIÁVEL,43.6%,2014-05-12 00:00:00,AVALIAR: Similaridade moderada (43.6%) com consumível 'SWITCH C/24 PORTAS NÃO GERENCIÁVEL...'. Possível reclassificação.
1.01 BRÁS,1028799,ACCESS POINT CORPOR. PADRÕES G/N/CISCO AIR,8,"R$ 613,83","R$ 0,00",REPETIDOR DE SINAL MODELO CISCO WAP121-A,19.6%,2012-03-15 00:00:00,MANTER: Similaridade muito baixa (19.6%). Mantém como patrimônio.
