Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
1.01 BRÁS,110783,BLOCO PADRAO CARY,25,"R$ 182,18","R$ 0,00",BLOCO PADRÃO P/HOTEND,55.5%,1960-11-30 00:00:00,AVALIAR: Similaridade moderada (55.5%) com consumível 'BLOCO PADRÃO P/HOTEND...'. Possível reclassificação.
1.01 BRÁS,113904,INDICADOR TESATEST,10,"R$ 182,18","R$ 0,00",INDICADOR 1.0,54.4%,1961-03-31 00:00:00,AVALIAR: Similaridade moderada (54.4%) com consumível 'INDICADOR 1.0...'. Possível reclassificação.
1.01 BRÁS,141841,MICROMETRO INT IMICRO BAG 1 DE 20 25MM,10,"R$ 182,18","R$ 0,00",MICRÔMETRO EXT. 0-25MM - 0.01MM,37.3%,1965-06-30 00:00:00,MANTER: Baixa similaridade (37.3%) com consumível 'MICRÔMETRO EXT. 0-25MM - 0.01MM...'. Provavelmente corretamente classificado.
1.01 BRÁS,435012,MICROMETRO INT.5-30MM 145/185 MITUTOYO,10,"R$ 182,18","R$ 0,00",MICRÔMETRO INT. 5-30MM - TP. PAQUÍMETRO,51.4%,1982-05-31 00:00:00,AVALIAR: Similaridade moderada (51.4%) com consumível 'MICRÔMETRO INT. 5-30MM - TP. PAQUÍMETRO...'. Possível reclassificação.
1.01 BRÁS,577506,JOGO BLOCOS PADRAO 88 PECAS TESA,25,"R$ 557,18","R$ 0,00",JOGO PANELEIRO 5 PEÇAS,41.1%,1992-10-31 00:00:00,AVALIAR: Similaridade moderada (41.1%) com consumível 'JOGO PANELEIRO 5 PEÇAS...'. Possível reclassificação.
1.01 BRÁS,577974,MICROMETRO INTERNO 05-30MM MITUTOYO,25,"R$ 27,84","R$ 0,00",MICRÔMETRO INT. 5-30MM - TP. PAQUÍMETRO,44.8%,1992-11-30 00:00:00,AVALIAR: Similaridade moderada (44.8%) com consumível 'MICRÔMETRO INT. 5-30MM - TP. PAQUÍMETRO...'. Possível reclassificação.
1.01 BRÁS,546304,MICROMETRO INTERNO 5 A 30MM MITUTOYO,25,"R$ 67,70","R$ 0,00",MICRÔMETRO INT. 5-30MM - TP. PAQUÍMETRO,44.5%,1991-10-31 00:00:00,AVALIAR: Similaridade moderada (44.5%) com consumível 'MICRÔMETRO INT. 5-30MM - TP. PAQUÍMETRO...'. Possível reclassificação.
1.01 BRÁS,546306,MICROMETRO INTERNO 25 A 50MM MITUTOYO,25,"R$ 135,43","R$ 0,00",MICRÔMETRO INT. 25-50MM - TP. PAQUÍMETRO,44.7%,1991-10-31 00:00:00,AVALIAR: Similaridade moderada (44.7%) com consumível 'MICRÔMETRO INT. 25-50MM - TP. PAQUÍMETRO...'. Possível reclassificação.
1.01 BRÁS,593938,JOGO BLOCOS-PADRAO 46 PECAS CARL MAHR,25,"R$ 3,96","R$ 0,00",JOGO PANELEIRO 5 PEÇAS,36.3%,1993-12-31 00:00:00,MANTER: Baixa similaridade (36.3%) com consumível 'JOGO PANELEIRO 5 PEÇAS...'. Provavelmente corretamente classificado.
1.01 BRÁS,408635,TRANSFERIDOR REF.187-908 MITUTOYO,10,"R$ 182,18","R$ 0,00",TRANSFERIDOR PLÁSTICO 180°,27.6%,1980-09-30 00:00:00,MANTER: Similaridade muito baixa (27.6%). Mantém como patrimônio.
