Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
1.01 BRÁS,1252647,MICRÔMETRO DIG.EXT. 50-75MM - PT DISCOS,25,"R$ 4100,00","R$ 2494,17",MICRÔMETRO EXT. 50-75MM - 0.01MM,57.2%,2022-01-11 00:00:00,AVALIAR: Similaridade moderada (57.2%) com consumível 'MICRÔMETRO EXT. 50-75MM - 0.01MM...'. Possível reclassificação.
1.01 BRÁS,1252648,MICRÔMETRO DIG. EXT. 25-50MM - PT DISCOS,25,"R$ 5120,00","R$ 3114,67",MICRÔMETRO EXT. 25-50MM - 0.01MM,57.2%,2022-01-11 00:00:00,AVALIAR: Similaridade moderada (57.2%) com consumível 'MICRÔMETRO EXT. 25-50MM - 0.01MM...'. Possível reclassificação.
1.01 BRÁS,1252649,MICRÔMETRO DIG. INT. 5-30MM - TP. PAQ.,25,"R$ 2694,91","R$ 1639,41",MICRÔMETRO INT. 5-30MM - TP. PAQUÍMETRO,60.1%,2022-01-11 00:00:00,RECLASSIFICAR: Alta similaridade (60.1%) com consumível 'MICRÔMETRO INT. 5-30MM - TP. PAQUÍMETRO...'. Forte indicação de má classificação.
1.01 BRÁS,1252650,MICRÔMETRO DIG. INT. 25-50MM - TP. PAQ.,25,"R$ 3102,02","R$ 1887,07",MICRÔMETRO INT. 25-50MM - TP. PAQUÍMETRO,60.2%,2022-01-11 00:00:00,RECLASSIFICAR: Alta similaridade (60.2%) com consumível 'MICRÔMETRO INT. 25-50MM - TP. PAQUÍMETRO...'. Forte indicação de má classificação.
1.01 BRÁS,1259579,MICRÔMETRO DIG. EXT. 0-25MM - PT DISCOS,25,"R$ 4700,00","R$ 3094,17",MICRÔMETRO EXT. 0-25MM - C/RELÓGIO,57.7%,2022-07-20 00:00:00,AVALIAR: Similaridade moderada (57.7%) com consumível 'MICRÔMETRO EXT. 0-25MM - C/RELÓGIO...'. Possível reclassificação.
1.01 BRÁS,1366119,ALINHADOR DE TUBOS 16 A 32m,20,"R$ 2100,00","R$ 2047,50","KIT CURVADOR DE TUBOS 1/4"" À 7/8""",33.7%,2025-09-12 00:00:00,"MANTER: Baixa similaridade (33.7%) com consumível 'KIT CURVADOR DE TUBOS 1/4"" À 7/8""...'. Provavelmente corretamente classificado."
1.01 BRÁS,1280826,TRAÇADOR DE ALTURA -300MM/12P,25,"R$ 1279,99","R$ 1002,66",TAMPA P/TRAÇADOR DE ALTURA,48.0%,2023-10-25 00:00:00,AVALIAR: Similaridade moderada (48.0%) com consumível 'TAMPA P/TRAÇADOR DE ALTURA...'. Possível reclassificação.
1.01 BRÁS,1280827,TRAÇADOR DE ALTURA -300MM/12P,25,"R$ 1279,99","R$ 1002,66",TAMPA P/TRAÇADOR DE ALTURA,48.0%,2023-10-25 00:00:00,AVALIAR: Similaridade moderada (48.0%) com consumível 'TAMPA P/TRAÇADOR DE ALTURA...'. Possível reclassificação.
1.01 BRÁS,1281623,"MICRÔMETRO DIG. EXT. 0-25MM - 0,001MM",25,"R$ 899,91","R$ 712,43",MICRÔMETRO EXT. 0-25MM - 0.001MM,84.1%,2023-11-09 00:00:00,RECLASSIFICAR: Altíssima similaridade (84.1%) com consumível 'MICRÔMETRO EXT. 0-25MM - 0.001MM...'. Item claramente mal classificado como patrimônio.
1.01 BRÁS,1281624,"MICRÔMETRO DIG. EXT. 0-25MM - 0,001MM",25,"R$ 899,91","R$ 712,43",MICRÔMETRO EXT. 0-25MM - 0.001MM,84.1%,2023-11-09 00:00:00,RECLASSIFICAR: Altíssima similaridade (84.1%) com consumível 'MICRÔMETRO EXT. 0-25MM - 0.001MM...'. Item claramente mal classificado como patrimônio.
