Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
1.01 BRÁS,1009700,SAXOFONE BARITONO /QUASAR,20,"R$ 3900,00","R$ 0,00",PALHETA PARA SAXOFONE,28.2%,2011-12-07 00:00:00,MANTER: Similaridade muito baixa (28.2%). Mantém como patrimônio.
1.01 BRÁS,1023174,SAXOFONE ALTO / MICHAEL,20,"R$ 1377,00","R$ 0,00",PALHETA PARA SAXOFONE,28.9%,2012-02-22 00:00:00,MANTER: Similaridade muito baixa (28.9%). Mantém como patrimônio.
1.01 BRÁS,1023175,SAXOFONE SOPRANO / MICHAEL,20,"R$ 1198,00","R$ 0,00",PALHETA PARA SAXOFONE,28.2%,2012-02-22 00:00:00,MANTER: Similaridade muito baixa (28.2%). Mantém como patrimônio.
1.01 BRÁS,1023176,SAXOFONE TENOR / MICHAEL,20,"R$ 1542,00","R$ 0,00",PALHETA PARA SAXOFONE,28.7%,2012-02-22 00:00:00,MANTER: Similaridade muito baixa (28.7%). Mantém como patrimônio.
1.01 BRÁS,1028107,VIOLA / NHURESON,20,"R$ 2500,00","R$ 0,00",ARCO PARA VIOLA 4/4,34.2%,2012-03-15 00:00:00,MANTER: Baixa similaridade (34.2%) com consumível 'ARCO PARA VIOLA 4/4...'. Provavelmente corretamente classificado.
1.01 BRÁS,1028108,VIOLA / NHURESON,20,"R$ 2500,00","R$ 0,00",ARCO PARA VIOLA 4/4,34.2%,2012-03-15 00:00:00,MANTER: Baixa similaridade (34.2%) com consumível 'ARCO PARA VIOLA 4/4...'. Provavelmente corretamente classificado.
1.01 BRÁS,1028109,VIOLINO / NHURESON,20,"R$ 2190,00","R$ 0,00",ARCO P/VIOLINO 1/8,37.5%,2012-03-15 00:00:00,MANTER: Baixa similaridade (37.5%) com consumível 'ARCO P/VIOLINO 1/8...'. Provavelmente corretamente classificado.
1.01 BRÁS,1028110,VIOLINO / NHURESON,20,"R$ 2190,00","R$ 0,00",ARCO P/VIOLINO 1/8,37.5%,2012-03-15 00:00:00,MANTER: Baixa similaridade (37.5%) com consumível 'ARCO P/VIOLINO 1/8...'. Provavelmente corretamente classificado.
1.01 BRÁS,1028111,VIOLINO / NHURESON,20,"R$ 2190,00","R$ 0,00",ARCO P/VIOLINO 1/8,37.5%,2012-03-15 00:00:00,MANTER: Baixa similaridade (37.5%) com consumível 'ARCO P/VIOLINO 1/8...'. Provavelmente corretamente classificado.
1.01 BRÁS,1028112,VIOLINO / NHURESON,20,"R$ 2190,00","R$ 0,00",ARCO P/VIOLINO 1/8,37.5%,2012-03-15 00:00:00,MANTER: Baixa similaridade (37.5%) com consumível 'ARCO P/VIOLINO 1/8...'. Provavelmente corretamente classificado.
1.01 BRÁS,1028113,VIOLINO / NHURESON,20,"R$ 2190,00","R$ 0,00",ARCO P/VIOLINO 1/8,37.5%,2012-03-15 00:00:00,MANTER: Baixa similaridade (37.5%) com consumível 'ARCO P/VIOLINO 1/8...'. Provavelmente corretamente classificado.
1.01 BRÁS,1045601,OBOÉ / YAMAHA,20,"R$ 18713,10","R$ 0,00",PORCA DO PINHÃO YAMAHA,33.9%,2012-07-18 00:00:00,MANTER: Baixa similaridade (33.9%) com consumível 'PORCA DO PINHÃO YAMAHA...'. Provavelmente corretamente classificado.
1.01 BRÁS,1045602,OBOÉ / YAMAHA,20,"R$ 18713,10","R$ 0,00",PORCA DO PINHÃO YAMAHA,33.9%,2012-07-18 00:00:00,MANTER: Baixa similaridade (33.9%) com consumível 'PORCA DO PINHÃO YAMAHA...'. Provavelmente corretamente classificado.
1.01 BRÁS,1047409,VIBRAFONE - PERCURSÃO DE TECLADO/TEMPPUS,20,"R$ 4600,00","R$ 0,00",CAPA DE TECLADO,29.8%,2012-08-14 00:00:00,MANTER: Similaridade muito baixa (29.8%). Mantém como patrimônio.
1.01 BRÁS,1049910,MARIMBA QUATRO OITAVAS E MEIA / PREMIER,20,"R$ 10900,00","R$ 0,00",FITA DE MEIA PÉROLA,25.0%,2012-11-27 00:00:00,MANTER: Similaridade muito baixa (25.0%). Mantém como patrimônio.
1.01 BRÁS,593876,BUMBO SINFONICO 36P COLANERI,20,"R$ 901,89","R$ 0,00",PEDAL P/BUMBO DE BATERIA,24.4%,1994-01-31 00:00:00,MANTER: Similaridade muito baixa (24.4%). Mantém como patrimônio.
