Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
1.01 BRÁS,648470,RUGOSIMETRO PORT SUFTEST SJ201 MITUTOYO,25,"R$ 1525,11","R$ 0,00",ESFERA MITUTOYO D20,21.4%,1999-01-31 00:00:00,MANTER: Similaridade muito baixa (21.4%). Mantém como patrimônio.
1.01 BRÁS,648469,RUGOSIMETRO PORT SUFTEST SJ201 MITUTOYO,25,"R$ 1525,11","R$ 0,00",ESFERA MITUTOYO D20,21.4%,1999-01-31 00:00:00,MANTER: Similaridade muito baixa (21.4%). Mantém como patrimônio.
1.01 BRÁS,111694,FURADEIRA DE BANCADA ARBUS,50,"R$ 382,18","R$ 0,00",CORREIA B-41 PARA FURADEIRA DE BANCADA,53.8%,1960-12-31 00:00:00,AVALIAR: Similaridade moderada (53.8%) com consumível 'CORREIA B-41 PARA FURADEIRA DE BANCADA...'. Possível reclassificação.
1.01 BRÁS,149624,MAQ DE VIRAR CANO 3 8 A 1 1 4 ATLANTIDA,13,"R$ 382,18","R$ 0,00","BARRA DE CANO 1 1/2""",28.5%,1966-01-01 00:00:00,MANTER: Similaridade muito baixa (28.5%). Mantém como patrimônio.
1.01 BRÁS,24539,BASE DE COLUNA,20,"R$ 382,18","R$ 0,00",BASE DE FIXAÇÃO PARA COLUNA,67.2%,1954-12-31 00:00:00,RECLASSIFICAR: Alta similaridade (67.2%) com consumível 'BASE DE FIXAÇÃO PARA COLUNA...'. Forte indicação de má classificação.
1.01 BRÁS,418660,FURADEIRA MANUAL ELET.0 A 1/2P BOSCH,8,"R$ 382,18","R$ 0,00","SUPORTE P/FURADEIRA MANUAL 1/2""",46.2%,1981-06-30 00:00:00,"AVALIAR: Similaridade moderada (46.2%) com consumível 'SUPORTE P/FURADEIRA MANUAL 1/2""...'. Possível reclassificação."
1.01 BRÁS,491004,FURADEIRA MANUAL MONO 1107 BOSCH,8,"R$ 382,18","R$ 0,00","SUPORTE P/FURADEIRA MANUAL 1/2""",40.8%,1988-06-30 00:00:00,"AVALIAR: Similaridade moderada (40.8%) com consumível 'SUPORTE P/FURADEIRA MANUAL 1/2""...'. Possível reclassificação."
1.01 BRÁS,491993,"FURADEIRA ELETR 0,5CV N.1182 BOSCH",8,"R$ 382,18","R$ 0,00",MOTOR ELÉTR 0.5CV/3F/2P/220V/CARC 63,32.9%,1988-06-30 00:00:00,MANTER: Baixa similaridade (32.9%) com consumível 'MOTOR ELÉTR 0.5CV/3F/2P/220V/CARC 63...'. Provavelmente corretamente classificado.
1.01 BRÁS,494052,ESMERIL DE BANCADA 1/2HP SCHULZ,35,"R$ 382,18","R$ 0,00",REBOLO P/ESMERILHADORA DE BANCADA GC,29.6%,1988-08-31 00:00:00,MANTER: Similaridade muito baixa (29.6%). Mantém como patrimônio.
1.01 BRÁS,638716,ESMERILHADEIRA ANGULAR MAKITA 9027,8,"R$ 435,49","R$ 0,00",ESMERILHADEIRA ANGULAR PNEUMÁTICA 4 1/2P,51.5%,1998-02-28 00:00:00,AVALIAR: Similaridade moderada (51.5%) com consumível 'ESMERILHADEIRA ANGULAR PNEUMÁTICA 4 1/2P...'. Possível reclassificação.
1.01 BRÁS,639502,MAQ LIXAR RASPAR TACOS 4HP SUPER DISCAO,13,"R$ 6826,04","R$ 0,00",ALARGADOR TUBO 1/8 A 3/4 SUPER REFORÇADO,22.9%,1998-03-31 00:00:00,MANTER: Similaridade muito baixa (22.9%). Mantém como patrimônio.
1.01 BRÁS,345497,EMPILHADEIRA HIDRAULICA FAMASA,20,"R$ 382,18","R$ 0,00",MANGUEIRA HIDRÁULICA 0.8M,38.2%,1979-06-30 00:00:00,MANTER: Baixa similaridade (38.2%) com consumível 'MANGUEIRA HIDRÁULICA 0.8M...'. Provavelmente corretamente classificado.
1.01 BRÁS,408679,PALETEIRA PALLET-TRUCK N.2833,30,"R$ 382,18","R$ 0,00",PALLET EXTRA 1210 - 6,25.4%,1980-09-30 00:00:00,MANTER: Similaridade muito baixa (25.4%). Mantém como patrimônio.
1.01 BRÁS,467875,PALETEIRA PALLET TRICK 2000KG,30,"R$ 382,18","R$ 0,00",PALLET EXTRA 1210 - 6,26.7%,1986-04-30 00:00:00,MANTER: Similaridade muito baixa (26.7%). Mantém como patrimônio.
1.01 BRÁS,483617,ESTACAO DE SOLDAGEM WELLER EC 1000 B.,8,"R$ 382,18","R$ 0,00",PONTA DE ESTAÇÃO DE SOLDA WELLER WSP80,40.3%,1987-12-31 00:00:00,AVALIAR: Similaridade moderada (40.3%) com consumível 'PONTA DE ESTAÇÃO DE SOLDA WELLER WSP80...'. Possível reclassificação.
1.01 BRÁS,637975,FRIGOBAR 120 LITROS CRT12BANA CONSUL,15,"R$ 552,47","R$ 0,00",CAIXA ISOPOR 120 LITROS,34.2%,1997-12-31 00:00:00,MANTER: Baixa similaridade (34.2%) com consumível 'CAIXA ISOPOR 120 LITROS...'. Provavelmente corretamente classificado.
1.01 BRÁS,594284,TALHA MANUAL 1000KGX5M BERGSTEEL,50,"R$ 44,17","R$ 0,00",TALHA MANUAL P/1000 kg,49.1%,1994-01-31 00:00:00,AVALIAR: Similaridade moderada (49.1%) com consumível 'TALHA MANUAL P/1000 kg...'. Possível reclassificação.
1.01 BRÁS,323685,BEBEDOURO ELETRICO 110 V ELEGE DF 124/4,10,"R$ 382,18","R$ 0,00",TERMOSTATO BEBEDOURO DE PRESSÃO 110/220V,31.9%,1977-07-31 00:00:00,MANTER: Baixa similaridade (31.9%) com consumível 'TERMOSTATO BEBEDOURO DE PRESSÃO 110/220V...'. Provavelmente corretamente classificado.
1.01 BRÁS,461328,CONDICIONADOR DE AR 210-I-23-CR SPRINGE,15,"R$ 382,18","R$ 0,00",CONDICIONADOR DE CABELO 5L,35.0%,1985-06-30 00:00:00,MANTER: Baixa similaridade (35.0%) com consumível 'CONDICIONADOR DE CABELO 5L...'. Provavelmente corretamente classificado.
1.01 BRÁS,119898,VENTILADOR EXAUSTOR,10,"R$ 382,18","R$ 0,00",VENTILADOR EXAUSTOR AXIAL 300mm,57.8%,1961-12-31 00:00:00,AVALIAR: Similaridade moderada (57.8%) com consumível 'VENTILADOR EXAUSTOR AXIAL 300mm...'. Possível reclassificação.
1.01 BRÁS,119899,VENTILADOR EXAUSTOR,10,"R$ 382,18","R$ 0,00",VENTILADOR EXAUSTOR AXIAL 300mm,57.8%,1961-12-31 00:00:00,AVALIAR: Similaridade moderada (57.8%) com consumível 'VENTILADOR EXAUSTOR AXIAL 300mm...'. Possível reclassificação.
1.01 BRÁS,638717,ESMERILHADEIRA ANGULAR MAKITA 9027,8,"R$ 435,49","R$ 0,00",ESMERILHADEIRA ANGULAR PNEUMÁTICA 4 1/2P,51.5%,1998-02-28 00:00:00,AVALIAR: Similaridade moderada (51.5%) com consumível 'ESMERILHADEIRA ANGULAR PNEUMÁTICA 4 1/2P...'. Possível reclassificação.
1.01 BRÁS,403853,PLACA MAG.250X125X60MM ECLIPSE,15,"R$ 382,18","R$ 0,00",PLACA PS 3X500X1200MM,31.6%,1980-04-30 00:00:00,MANTER: Baixa similaridade (31.6%) com consumível 'PLACA PS 3X500X1200MM...'. Provavelmente corretamente classificado.
