Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
1.01 BRÁS,1306371,BANCADA DE TRABALHO,25,"R$ 4509,34","R$ 3908,10",BANCADA DE ARDÓSIA M²,43.3%,2024-08-30 00:00:00,AVALIAR: Similaridade moderada (43.3%) com consumível 'BANCADA DE ARDÓSIA M²...'. Possível reclassificação.
1.01 BRÁS,1347666,ROUPEIRO DE AÇO CFP 1.01,25,"R$ 1659,90","R$ 1535,41","ABRAÇADEIRA DE AÇO 1.1/2""",36.2%,2025-03-24 00:00:00,"MANTER: Baixa similaridade (36.2%) com consumível 'ABRAÇADEIRA DE AÇO 1.1/2""...'. Provavelmente corretamente classificado."
1.01 BRÁS,1347667,ROUPEIRO DE AÇO CFP 1.01,25,"R$ 1659,90","R$ 1535,41","ABRAÇADEIRA DE AÇO 1.1/2""",36.2%,2025-03-24 00:00:00,"MANTER: Baixa similaridade (36.2%) com consumível 'ABRAÇADEIRA DE AÇO 1.1/2""...'. Provavelmente corretamente classificado."
1.01 BRÁS,1347668,ROUPEIRO DE AÇO CFP 1.01,25,"R$ 1659,90","R$ 1535,41","ABRAÇADEIRA DE AÇO 1.1/2""",36.2%,2025-03-24 00:00:00,"MANTER: Baixa similaridade (36.2%) com consumível 'ABRAÇADEIRA DE AÇO 1.1/2""...'. Provavelmente corretamente classificado."
1.01 BRÁS,1347669,ROUPEIRO DE AÇO CFP 1.01,25,"R$ 1659,90","R$ 1535,41","ABRAÇADEIRA DE AÇO 1.1/2""",36.2%,2025-03-24 00:00:00,"MANTER: Baixa similaridade (36.2%) com consumível 'ABRAÇADEIRA DE AÇO 1.1/2""...'. Provavelmente corretamente classificado."
1.01 BRÁS,1347670,ROUPEIRO DE AÇO CFP 1.01,25,"R$ 1659,90","R$ 1535,41","ABRAÇADEIRA DE AÇO 1.1/2""",36.2%,2025-03-24 00:00:00,"MANTER: Baixa similaridade (36.2%) com consumível 'ABRAÇADEIRA DE AÇO 1.1/2""...'. Provavelmente corretamente classificado."
1.01 BRÁS,1347671,ROUPEIRO DE AÇO CFP 1.01,25,"R$ 1659,90","R$ 1535,41","ABRAÇADEIRA DE AÇO 1.1/2""",36.2%,2025-03-24 00:00:00,"MANTER: Baixa similaridade (36.2%) com consumível 'ABRAÇADEIRA DE AÇO 1.1/2""...'. Provavelmente corretamente classificado."
1.01 BRÁS,1347672,ROUPEIRO DE AÇO CFP 1.01,25,"R$ 1659,90","R$ 1535,41","ABRAÇADEIRA DE AÇO 1.1/2""",36.2%,2025-03-24 00:00:00,"MANTER: Baixa similaridade (36.2%) com consumível 'ABRAÇADEIRA DE AÇO 1.1/2""...'. Provavelmente corretamente classificado."
1.01 BRÁS,1347673,ROUPEIRO DE AÇO CFP 1.01,25,"R$ 1659,90","R$ 1535,41","ABRAÇADEIRA DE AÇO 1.1/2""",36.2%,2025-03-24 00:00:00,"MANTER: Baixa similaridade (36.2%) com consumível 'ABRAÇADEIRA DE AÇO 1.1/2""...'. Provavelmente corretamente classificado."
1.01 BRÁS,1347674,ROUPEIRO DE AÇO CFP 1.01,25,"R$ 1659,90","R$ 1535,41","ABRAÇADEIRA DE AÇO 1.1/2""",36.2%,2025-03-24 00:00:00,"MANTER: Baixa similaridade (36.2%) com consumível 'ABRAÇADEIRA DE AÇO 1.1/2""...'. Provavelmente corretamente classificado."
1.01 BRÁS,1347675,ROUPEIRO DE AÇO CFP 1.01,25,"R$ 1659,90","R$ 1535,41","ABRAÇADEIRA DE AÇO 1.1/2""",36.2%,2025-03-24 00:00:00,"MANTER: Baixa similaridade (36.2%) com consumível 'ABRAÇADEIRA DE AÇO 1.1/2""...'. Provavelmente corretamente classificado."
1.01 BRÁS,1365953,CARRINHO P/RECARGA 24 NOTEBOOKS/TABLETS,25,"R$ 3030,00","R$ 2954,25",CARRINHO P/CILINDRO,27.4%,2025-09-11 00:00:00,MANTER: Similaridade muito baixa (27.4%). Mantém como patrimônio.
1.01 BRÁS,1366058,GAVETEIRO GRAFITTO P/SEDE,20,"R$ 601,71","R$ 586,67",GAVETEIRO PRETO N°5 - 13X24X12,31.0%,2025-09-12 00:00:00,MANTER: Baixa similaridade (31.0%) com consumível 'GAVETEIRO PRETO N°5 - 13X24X12...'. Provavelmente corretamente classificado.
