Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
1.01 BRÁS,405999,BALANCA 500KG ARJA MOD.106,10,"R$ 182,18","R$ 0,00",BALANÇA DE BIOIMPEDÂNCIA,24.9%,1980-07-31 00:00:00,MANTER: Similaridade muito baixa (24.9%). Mantém como patrimônio.
1.01 BRÁS,466140,CARRINHO MAO C/RODA FICHER,15,"R$ 182,18","R$ 0,00",CARRINHO DE MÃO,52.6%,1985-12-31 00:00:00,AVALIAR: Similaridade moderada (52.6%) com consumível 'CARRINHO DE MÃO...'. Possível reclassificação.
1.01 BRÁS,466141,CARRINHO MAO C/RODA FICHER,15,"R$ 182,18","R$ 0,00",CARRINHO DE MÃO,52.6%,1985-12-31 00:00:00,AVALIAR: Similaridade moderada (52.6%) com consumível 'CARRINHO DE MÃO...'. Possível reclassificação.
1.01 BRÁS,486786,SECADOR DE CABELO 1500W TANY,15,"R$ 182,18","R$ 0,00",SECADOR DE CABELO INFANTIL,50.2%,1988-02-29 00:00:00,AVALIAR: Similaridade moderada (50.2%) com consumível 'SECADOR DE CABELO INFANTIL...'. Possível reclassificação.
1.01 BRÁS,512205,SECADOR DE CABELO 1500 W X 60HZ TANY,15,"R$ 182,18","R$ 0,00",SECADOR DE CABELO INFANTIL,42.7%,1989-05-31 00:00:00,AVALIAR: Similaridade moderada (42.7%) com consumível 'SECADOR DE CABELO INFANTIL...'. Possível reclassificação.
1.01 BRÁS,512206,SECADOR DE CABELO 1500 W X 60HZ TANY,15,"R$ 182,18","R$ 0,00",SECADOR DE CABELO INFANTIL,42.7%,1989-05-31 00:00:00,AVALIAR: Similaridade moderada (42.7%) com consumível 'SECADOR DE CABELO INFANTIL...'. Possível reclassificação.
1.01 BRÁS,44,CABECA DE BRONZE COM PEDESTAL,50,"R$ 182,18","R$ 0,00",TÊ BRONZE RR 3/4P,37.7%,1953-01-01 00:00:00,MANTER: Baixa similaridade (37.7%) com consumível 'TÊ BRONZE RR 3/4P...'. Provavelmente corretamente classificado.
1.01 BRÁS,171379,NUMERADOR ALEMAO B2,15,"R$ 182,18","R$ 0,00",NUMERADOR AUTOMÁTICO C/6 DIGITOS...,35.1%,1968-01-01 00:00:00,MANTER: Baixa similaridade (35.1%) com consumível 'NUMERADOR AUTOMÁTICO C/6 DIGITOS......'. Provavelmente corretamente classificado.
1.01 BRÁS,405410,FURADOR DE PAPEL CONDOR,15,"R$ 182,18","R$ 0,00",FURADOR DE PAPEL,71.3%,1980-06-30 00:00:00,RECLASSIFICAR: Alta similaridade (71.3%) com consumível 'FURADOR DE PAPEL...'. Forte indicação de má classificação.
1.01 BRÁS,218492,PERFURADOR  CONDOR 117,15,"R$ 182,18","R$ 0,00",PERFURADOR PP-3 1,43.9%,1970-10-31 00:00:00,AVALIAR: Similaridade moderada (43.9%) com consumível 'PERFURADOR PP-3 1...'. Possível reclassificação.
1.01 BRÁS,742352,QUADRO MAGNETICO PAREDE C TELA,20,"R$ 425,00","R$ 0,00",MARCADOR P/QUADRO MAGNÉTICO,44.8%,2005-10-31 00:00:00,AVALIAR: Similaridade moderada (44.8%) com consumível 'MARCADOR P/QUADRO MAGNÉTICO...'. Possível reclassificação.
1.01 BRÁS,514294,CARRO TIPO PLATAFORMA 39A ROD-CAR,30,"R$ 182,18","R$ 0,00",RODAS DE CARRINHO TIPO PLATAFORMA,36.6%,1989-08-31 00:00:00,MANTER: Baixa similaridade (36.6%) com consumível 'RODAS DE CARRINHO TIPO PLATAFORMA...'. Provavelmente corretamente classificado.
1.01 BRÁS,522298,QUADRO BRANCO MAGNETICO C/TELA PROJECAO,20,"R$ 182,18","R$ 0,00",QUADRO MAGNÉTICO BRANCO 90X60cm,52.1%,1990-02-28 00:00:00,AVALIAR: Similaridade moderada (52.1%) com consumível 'QUADRO MAGNÉTICO BRANCO 90X60cm...'. Possível reclassificação.
1.01 BRÁS,2402,PIA DUPLA,15,"R$ 182,18","R$ 0,00",PORTA DUPLA,47.3%,1948-01-01 00:00:00,AVALIAR: Similaridade moderada (47.3%) com consumível 'PORTA DUPLA...'. Possível reclassificação.
1.01 BRÁS,274939,"CARRO P/TRANSPORTE, ACO INOX",25,"R$ 182,18","R$ 0,00",CANECÃO DE AÇO INOX 2L,45.1%,1974-05-31 00:00:00,AVALIAR: Similaridade moderada (45.1%) com consumível 'CANECÃO DE AÇO INOX 2L...'. Possível reclassificação.
1.01 BRÁS,274940,"CARRO P/TRANSPORTE, ACO INOX",25,"R$ 182,18","R$ 0,00",CANECÃO DE AÇO INOX 2L,45.1%,1974-05-31 00:00:00,AVALIAR: Similaridade moderada (45.1%) com consumível 'CANECÃO DE AÇO INOX 2L...'. Possível reclassificação.
1.01 BRÁS,447652,CARRO P/ TRANSP. AUX. ACO INOX 3 PLANOS,25,"R$ 182,18","R$ 0,00",BARRA AÇO INOX 3/16,37.5%,1983-05-31 00:00:00,MANTER: Baixa similaridade (37.5%) com consumível 'BARRA AÇO INOX 3/16...'. Provavelmente corretamente classificado.
1.01 BRÁS,447653,CARRO P/ TRANSP. AUX. ACO INOX 3 PLANOS,25,"R$ 182,18","R$ 0,00",BARRA AÇO INOX 3/16,37.5%,1983-05-31 00:00:00,MANTER: Baixa similaridade (37.5%) com consumível 'BARRA AÇO INOX 3/16...'. Provavelmente corretamente classificado.
1.01 BRÁS,461620,BANDEJA ALUMINIO 360X250X45MM,15,"R$ 182,18","R$ 0,00",BANDEJA ALUMÍNIO 39X27X6CM,59.0%,1985-07-31 00:00:00,AVALIAR: Similaridade moderada (59.0%) com consumível 'BANDEJA ALUMÍNIO 39X27X6CM...'. Possível reclassificação.
1.01 BRÁS,461621,BANDEJA ALUMINIO 360X250X45MM,15,"R$ 182,18","R$ 0,00",BANDEJA ALUMÍNIO 39X27X6CM,59.0%,1985-07-31 00:00:00,AVALIAR: Similaridade moderada (59.0%) com consumível 'BANDEJA ALUMÍNIO 39X27X6CM...'. Possível reclassificação.
1.01 BRÁS,461622,BANDEJA ALUMINIO 360X250X45MM,15,"R$ 182,18","R$ 0,00",BANDEJA ALUMÍNIO 39X27X6CM,59.0%,1985-07-31 00:00:00,AVALIAR: Similaridade moderada (59.0%) com consumível 'BANDEJA ALUMÍNIO 39X27X6CM...'. Possível reclassificação.
1.01 BRÁS,583858,ESTUFA FERMENTACAO MASSAS PERLIMA,20,"R$ 12,38","R$ 0,00",ESTUFA PARA PLANTIO,26.7%,1993-05-31 00:00:00,MANTER: Similaridade muito baixa (26.7%). Mantém como patrimônio.
1.01 BRÁS,583859,ESTUFA FERMENTACAO MASSAS PERLIMA,20,"R$ 12,38","R$ 0,00",ESTUFA PARA PLANTIO,26.7%,1993-05-31 00:00:00,MANTER: Similaridade muito baixa (26.7%). Mantém como patrimônio.
1.01 BRÁS,583861,BANDEJA ESTUFA 500X800MM PERLIMA,15,"R$ 0,99","R$ 0,00",BANDEJA PLÁSTICA 600X400X70MM,30.4%,1993-05-31 00:00:00,MANTER: Baixa similaridade (30.4%) com consumível 'BANDEJA PLÁSTICA 600X400X70MM...'. Provavelmente corretamente classificado.
