Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
1.03 MOOCA,976377,"EMPILHADEIRA 2,5 TON ELETRÔNICA/TOYOTA",20,"R$ 70855,00","R$ 0,00",MICRORUTOR P/EMPILHADEIRA TOYOTA,44.3%,2011-02-07 00:00:00,AVALIAR: Similaridade moderada (44.3%) com consumível 'MICRORUTOR P/EMPILHADEIRA TOYOTA...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,857157,"EMPILHADEIRA FRONTAL  2,5 T. /  HELI",20,"R$ 51500,00","R$ 0,00",CABO DE ACELERADOR EMPILHADEIRA HELI,43.2%,2008-09-24 00:00:00,AVALIAR: Similaridade moderada (43.2%) com consumível 'CABO DE ACELERADOR EMPILHADEIRA HELI...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,1236497,"STRADA 1.8 ""CARCAÇA DE VEÍCULO""",10,"R$ 1500,00","R$ 0,00",FILTRO AR - VEÍCULO STRADA,49.7%,2020-12-09 00:00:00,AVALIAR: Similaridade moderada (49.7%) com consumível 'FILTRO AR - VEÍCULO STRADA...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,1260400,SCRAP DE AZERA 3.0 V6 - HYUNDAI,10,"R$ 76000,00","R$ 26600,00",PARA-CHOQUE DO HYUNDAI AZERA 3.0 V6,50.9%,2022-09-13 00:00:00,AVALIAR: Similaridade moderada (50.9%) com consumível 'PARA-CHOQUE DO HYUNDAI AZERA 3.0 V6...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,656682,DISTRIBUIDOR INDUTIVO SISTEMA HALL,5,"R$ 458,73","R$ 0,00",DISTRIBUIDOR DE IGNIÇÃO C/SENSOR HALL,44.5%,2000-05-31 00:00:00,AVALIAR: Similaridade moderada (44.5%) com consumível 'DISTRIBUIDOR DE IGNIÇÃO C/SENSOR HALL...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,656683,DISTRIBUIDOR INDUTIVO SISTEMA HALL,5,"R$ 458,73","R$ 0,00",DISTRIBUIDOR DE IGNIÇÃO C/SENSOR HALL,44.5%,2000-05-31 00:00:00,AVALIAR: Similaridade moderada (44.5%) com consumível 'DISTRIBUIDOR DE IGNIÇÃO C/SENSOR HALL...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,656684,DISTRIBUIDOR INDUTIVO SISTEMA HALL,5,"R$ 458,73","R$ 0,00",DISTRIBUIDOR DE IGNIÇÃO C/SENSOR HALL,44.5%,2000-05-31 00:00:00,AVALIAR: Similaridade moderada (44.5%) com consumível 'DISTRIBUIDOR DE IGNIÇÃO C/SENSOR HALL...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,656685,DISTRIBUIDOR INDUTIVO SISTEMA HALL,5,"R$ 458,73","R$ 0,00",DISTRIBUIDOR DE IGNIÇÃO C/SENSOR HALL,44.5%,2000-05-31 00:00:00,AVALIAR: Similaridade moderada (44.5%) com consumível 'DISTRIBUIDOR DE IGNIÇÃO C/SENSOR HALL...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,656723,CARBURADOR 2E7 BROSOL GASOLINA,12,"R$ 853,84","R$ 0,00",KIT GICLEUR CARBURADOR 2E 1.6 GASOLINA,43.6%,2000-05-31 00:00:00,AVALIAR: Similaridade moderada (43.6%) com consumível 'KIT GICLEUR CARBURADOR 2E 1.6 GASOLINA...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,656724,CARBURADOR 2E7 BROSOL GASOLINA,12,"R$ 853,84","R$ 0,00",KIT GICLEUR CARBURADOR 2E 1.6 GASOLINA,43.6%,2000-05-31 00:00:00,AVALIAR: Similaridade moderada (43.6%) com consumível 'KIT GICLEUR CARBURADOR 2E 1.6 GASOLINA...'. Possível reclassificação.
